,Fraction of Accurate Reassortants,Fraction of Inaccurate Reassortants,Fraction of Accurate Edges,Fraction of Inaccurate Edges,Fraction of Accurate Reassortant Edges,Fraction of Inaccurate Reassortant Edges,Path Accuracy,Reassortant Path Accuracy
118,1.0,0.0,1.0,0.1774193548387097,1.0,0.3333333333333333,0.8225806451612904,0.6666666666666666
119,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
120,1.0,0.0,1.0,0.09523809523809523,1.0,0.15789473684210525,0.9047619047619048,0.8421052631578947
121,1.0,0.0,1.0,0.109375,1.0,0.0,0.890625,1.0
122,1.0,0.0,1.0,0.0967741935483871,1.0,0.17647058823529413,0.9032258064516129,0.8235294117647058
123,1.0,0.0,1.0,0.14285714285714285,1.0,0.2857142857142857,0.8571428571428571,0.7142857142857143
124,1.0,0.0,1.0,0.32098765432098764,1.0,0.4782608695652174,0.6790123456790124,0.5217391304347826
125,0.8888888888888888,0.0,0.9655172413793104,0.24324324324324326,0.8888888888888888,0.1111111111111111,0.7567567567567568,0.8888888888888888
126,1.0,0.0,1.0,0.16923076923076924,1.0,0.2857142857142857,0.8307692307692308,0.7142857142857143
127,1.0,0.0,1.0,0.21428571428571427,1.0,0.42857142857142855,0.7857142857142857,0.5714285714285714
128,0.8571428571428571,0.0,0.9642857142857143,0.01818181818181818,0.8571428571428571,0.0,0.9818181818181818,1.0
129,1.0,0.0,1.0,0.2463768115942029,1.0,0.5,0.7536231884057971,0.5
130,1.0,0.0,1.0,0.2638888888888889,1.0,0.4666666666666667,0.7361111111111112,0.5333333333333333
131,0.6666666666666666,0.0,0.9272727272727272,0.13559322033898305,0.6666666666666666,0.1111111111111111,0.864406779661017,0.8888888888888888
132,0.9166666666666666,0.0,0.9672131147540983,0.04838709677419355,0.9166666666666666,0.08333333333333333,0.9516129032258065,0.9166666666666666
133,0.7777777777777778,0.0,0.9310344827586207,0.15625,0.7777777777777778,0.125,0.84375,0.875
134,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
135,0.875,0.0,0.9649122807017544,0.05172413793103448,0.875,0.125,0.9482758620689655,0.875
136,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
137,0.8,0.0,0.9629629629629629,0.14754098360655737,0.8,0.2,0.8524590163934426,0.8
138,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
139,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
140,1.0,0.0,1.0,0.2987012987012987,1.0,0.5238095238095238,0.7012987012987013,0.47619047619047616
141,1.0,0.0,1.0,0.15384615384615385,1.0,0.07692307692307693,0.8461538461538461,0.9230769230769231
142,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
143,1.0,0.0,1.0,0.1875,1.0,0.14285714285714285,0.8125,0.8571428571428571
144,0.875,0.0,0.9649122807017544,0.09836065573770492,0.875,0.06666666666666667,0.9016393442622951,0.9333333333333333
145,0.8333333333333334,0.0,0.9636363636363636,0.13114754098360656,0.8333333333333334,0.23076923076923078,0.8688524590163934,0.7692307692307693
146,1.0,0.0,1.0,0.16923076923076924,1.0,0.2857142857142857,0.8307692307692308,0.7142857142857143
147,1.0,0.0,1.0,0.15942028985507245,1.0,0.28,0.8405797101449275,0.72
148,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
